crime_date,day_of_week,month,year,temp,prcp,wdsp,fog,total_crimes
2015-01-11,1,1,2015,25.8,0.0,9.4,0,651
2015-01-18,1,1,2015,36.8,0.0,11.6,0,699
2015-01-25,1,1,2015,31.1,0.0,10.9,0,646
2015-02-08,1,2,2015,36.0,0.0,6.6,0,616
2015-02-15,1,2,2015,4.5,0.0,10.3,0,555
2015-02-22,1,2,2015,21.4,0.0,8.9,0,593
2015-03-01,1,3,2015,18.3,0.04,4.9,0,758
2015-03-08,1,3,2015,34.9,0.0,7.0,0,625
2015-03-15,1,3,2015,45.2,0.0,7.1,0,779
2015-03-22,1,3,2015,32.4,0.0,8.6,0,657
2015-03-29,1,3,2015,31.6,0.0,12.8,0,619
2015-04-05,1,4,2015,53.5,0.0,8.5,0,675
2015-04-12,1,4,2015,54.7,0.0,8.7,0,773
2015-04-19,1,4,2015,55.6,0.0,8.3,0,703
2015-04-26,1,4,2015,44.8,0.16,9.9,0,718
2015-05-03,1,5,2015,67.4,0.0,7.4,0,745
2015-05-17,1,5,2015,72.3,0.01,12.6,0,837
2015-05-24,1,5,2015,66.1,0.0,5.9,0,687
2015-05-31,1,5,2015,47.5,0.39,17.0,0,667
2015-06-07,1,6,2015,65.7,0.0,9.0,0,740
2015-06-14,1,6,2015,73.3,0.68,6.8,0,798
2015-06-21,1,6,2015,73.5,0.31,7.6,0,783
2015-06-28,1,6,2015,67.5,0.0,3.2,0,797
2015-07-05,1,7,2015,72.4,0.0,4.0,0,898
2015-07-12,1,7,2015,73.6,0.03,4.5,0,801
2015-07-19,1,7,2015,79.4,0.54,8.2,0,764
2015-07-26,1,7,2015,74.7,0.0,4.1,0,802
2015-08-02,1,8,2015,79.6,0.0,11.7,0,822
2015-08-09,1,8,2015,71.8,0.0,4.4,0,745
2015-08-16,1,8,2015,78.7,0.14,5.2,0,865
2015-08-23,1,8,2015,71.5,0.0,9.8,0,806
2015-08-30,1,8,2015,68.4,0.25,3.3,0,802
2015-09-06,1,9,2015,79.9,0.0,7.9,0,818
2015-09-13,1,9,2015,58.1,0.0,6.2,0,733
2015-09-20,1,9,2015,60.4,0.05,2.6,0,811
2015-09-27,1,9,2015,67.4,0.0,6.3,0,803
2015-10-04,1,10,2015,51.9,0.01,11.0,0,654
2015-10-11,1,10,2015,61.5,0.0,9.3,0,735
2015-10-18,1,10,2015,44.6,0.0,3.9,0,675
2015-10-25,1,10,2015,51.3,0.41,5.8,0,731
2015-11-01,1,11,2015,52.7,0.08,10.4,0,998
2015-11-08,1,11,2015,40.8,0.0,4.3,0,705
2015-11-15,1,11,2015,52.5,0.0,8.3,0,724
2015-11-22,1,11,2015,19.1,0.98,7.9,0,521
2015-11-29,1,11,2015,32.7,0.0,6.5,0,612
2015-12-06,1,12,2015,35.8,0.0,5.6,0,688
2015-12-20,1,12,2015,34.2,0.0,10.6,0,693
2016-01-03,1,1,2016,26.8,0.0,11.4,0,618
2016-01-10,1,1,2016,19.0,0.27,15.8,0,598
2016-01-17,1,1,2016,7.5,0.0,14.2,0,537
2016-01-24,1,1,2016,27.1,0.0,7.6,0,677
2016-01-31,1,1,2016,42.2,0.0,6.5,0,666
2016-02-07,1,2,2016,37.6,0.0,10.5,0,616
2016-02-21,1,2,2016,39.6,0.0,8.2,0,708
2016-02-28,1,2,2016,51.7,0.0,16.9,0,625
2016-03-06,1,3,2016,38.8,0.0,9.2,0,714
2016-03-13,1,3,2016,46.8,0.33,8.0,0,628
2016-03-20,1,3,2016,36.8,0.0,8.4,0,687
2016-03-27,1,3,2016,46.9,0.0,6.8,0,631
2016-04-03,1,4,2016,40.1,0.02,13.4,0,708
2016-04-10,1,4,2016,37.1,0.03,14.3,0,705
2016-04-17,1,4,2016,62.5,0.0,5.0,0,709
2016-04-24,1,4,2016,56.2,0.0,6.9,0,756
2016-05-01,1,5,2016,45.2,0.63,11.8,0,825
2016-05-08,1,5,2016,55.0,0.01,4.1,0,730
2016-05-15,1,5,2016,45.0,0.0,8.5,0,742
2016-05-22,1,5,2016,66.2,0.0,6.4,0,750
2016-05-29,1,5,2016,71.8,0.13,11.6,0,798
2016-06-05,1,6,2016,68.2,0.43,9.8,0,779
2016-06-12,1,6,2016,71.4,0.0,10.5,0,852
2016-06-19,1,6,2016,77.7,0.0,5.7,0,811
2016-06-26,1,6,2016,81.3,0.0,9.2,0,775
2016-07-03,1,7,2016,68.0,0.0,6.0,0,782
2016-07-10,1,7,2016,72.4,0.0,3.8,0,760
2016-07-17,1,7,2016,70.5,0.0,9.6,0,789
2016-07-24,1,7,2016,78.5,1.12,11.2,0,791
2016-07-31,1,7,2016,72.7,0.0,6.0,0,813
2016-08-07,1,8,2016,74.7,0.0,4.4,0,838
2016-08-14,1,8,2016,76.7,0.0,4.8,0,844
2016-08-21,1,8,2016,66.4,0.47,9.7,0,787
2016-08-28,1,8,2016,76.9,0.21,5.2,0,804
2016-09-04,1,9,2016,69.0,0.0,6.0,0,779
